note_id,work_order_id,vessel_id,note_ts,author_role,note_text,language,llm_extracted_json,extracted_subsystem,extracted_failure_mode,extracted_parts,uncertainty_score,created_at
note_f02243263246,wo_f1364fa36de9,ves_6b5563e8c2f4,2023-12-17T08:00:00,tech,Suspect elec alt fail. Customer reports house bank not charging. Tech observed continuity good but intermittent under load. Recommended replace alternator.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_ALT_FAIL"", ""parts"": [""ALTERNATOR_70A""], ""severity"": 3, ""confidence"": 0.62}",ELECTRICAL,ELEC_ALT_FAIL,"[""ALTERNATOR_70A""]",0.38,2023-12-17T08:00:00
note_6ad76f0e52b0,wo_5e14320c65e6,ves_6b5563e8c2f4,2017-04-15T10:00:00,tech,Confirmed steer cable bind. Customer reports cable binds at lock. Tech observed cable binds at full lock. Recommended replace steering cable. Must repair before operating.,en,"{""subsystem"": ""STEERING"", ""failure_mode"": ""STEER_CABLE_BIND"", ""parts"": [""STEERING_CABLE_16FT""], ""severity"": 3, ""confidence"": 0.91}",STEERING,STEER_CABLE_BIND,"[""STEERING_CABLE_16FT""]",0.09,2017-04-15T10:00:00
note_9e708c113e3f,wo_adf62a72cce8,ves_6b5563e8c2f4,2017-05-16T14:00:00,service_writer,Suspect elec stray current. Customer reports bilge alarm false trigger. Tech observed voltage drop across main harness. Recommended electrical fault find.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_STRAY_CURRENT"", ""parts"": [], ""severity"": 3, ""confidence"": 0.62}",ELECTRICAL,ELEC_STRAY_CURRENT,[],0.38,2017-05-16T14:00:00
note_9779458afec1,wo_69834611ea58,ves_6b5563e8c2f4,2023-12-17T14:00:00,tech,Confirmed prop cutlass wear. Customer reports bellows leak observed. Tech observed drive oil milky after drain. Recommended replace cutlass brg.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""PROP_CUTLASS_WEAR"", ""parts"": [""INB_CUTLASS_BRG""], ""severity"": 3, ""confidence"": 0.91}",PROPULSION,PROP_CUTLASS_WEAR,"[""INB_CUTLASS_BRG""]",0.09,2023-12-17T14:00:00
note_afaa22b686e1,wo_4ca27bc711fe,ves_6b5563e8c2f4,2021-12-03T16:00:00,surveyor,Suspect fuel line crack. Customer reports fuel smell in bilge. Tech observed pickup screen restricted. Recommended replace fuel lines.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_LINE_CRACK"", ""parts"": [""FUEL_LINE_A1_10FT""], ""severity"": 3, ""confidence"": 0.62}",FUEL,FUEL_LINE_CRACK,"[""FUEL_LINE_A1_10FT""]",0.38,2021-12-03T16:00:00
note_c3ee217c45ac,wo_e88eb2124be2,ves_6b5563e8c2f4,2024-12-03T11:00:00,tech,Suspect jet wear ring clearance. Customer reports vibration underway. Tech observed shaft runout above spec. Recommended replace wear ring.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""JET_WEAR_RING_CLEARANCE"", ""parts"": [""JET_WEAR_RING""], ""severity"": 3, ""confidence"": 0.62}",PROPULSION,JET_WEAR_RING_CLEARANCE,"[""JET_WEAR_RING""]",0.38,2024-12-03T11:00:00
note_53d5262bb0fb,wo_0a2fcdc56232,ves_6b5563e8c2f4,2023-07-21T14:00:00,tech,Confirmed elec corrosion terminal. Customer reports intermittent helm power. Tech observed green corrosion at battery lug. Recommended clean reterm connectors.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CORROSION_TERMINAL"", ""parts"": [], ""severity"": 3, ""confidence"": 0.91}",ELECTRICAL,ELEC_CORROSION_TERMINAL,[],0.09,2023-07-21T14:00:00
note_31017864fddd,wo_de0a49510126,ves_6b5563e8c2f4,2016-08-02T10:00:00,tech,Confirmed san clog. Customer reports bilge pump inop. Tech observed raw-water strainer fouled. Recommended clear sanitation clog.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""SAN_CLOG"", ""parts"": [], ""severity"": 3, ""confidence"": 0.91}",AUX,SAN_CLOG,[],0.09,2016-08-02T10:00:00
note_c791e2770f56,wo_05d9877aeb49,ves_6b5563e8c2f4,2016-01-17T09:00:00,tech,Suspect san hose permeation. Customer reports freshwater pump cycles. Tech observed float switch stuck closed. Recommended replace san hose.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""SAN_HOSE_PERMEATION"", ""parts"": [""SANITATION_HOSE_10FT""], ""severity"": 3, ""confidence"": 0.62}",AUX,SAN_HOSE_PERMEATION,"[""SANITATION_HOSE_10FT""]",0.38,2016-01-17T09:00:00
note_44a99d959d56,wo_fe8e4896c25b,ves_e85c97dcf495,2024-07-18T08:00:00,tech,Suspect steer cable bind. Customer reports steering stiff to port. Tech observed hose seep at fitting under pressure. Recommended replace steering cable. Must repair before operating.,en,"{""subsystem"": ""STEERING"", ""failure_mode"": ""STEER_CABLE_BIND"", ""parts"": [""STEERING_CABLE_16FT""], ""severity"": 3, ""confidence"": 0.62}",STEERING,STEER_CABLE_BIND,"[""STEERING_CABLE_16FT""]",0.38,2024-07-18T08:00:00
note_d7610abd7705,wo_cce9e6a9ad7d,ves_e85c97dcf495,2024-07-10T12:00:00,tech,Confirmed fuel line crack. Customer reports fuel smell in bilge. Tech observed pickup screen restricted. Recommended replace fuel lines.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_LINE_CRACK"", ""parts"": [""FUEL_LINE_A1_10FT""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_LINE_CRACK,"[""FUEL_LINE_A1_10FT""]",0.09,2024-07-10T12:00:00
note_4796493beb8b,wo_66fab2e05b21,ves_e85c97dcf495,2016-02-15T14:00:00,tech,Suspect jet wear ring clearance. Customer reports vibration underway. Tech observed shaft runout above spec. Recommended replace wear ring.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""JET_WEAR_RING_CLEARANCE"", ""parts"": [""JET_WEAR_RING""], ""severity"": 3, ""confidence"": 0.62}",PROPULSION,JET_WEAR_RING_CLEARANCE,"[""JET_WEAR_RING""]",0.38,2016-02-15T14:00:00
note_1d3281afac51,wo_a5373c9f9c8e,ves_e85c97dcf495,2026-01-06T12:00:00,surveyor,Suspect elec chafe short. Customer reports corroded battery terminal. Tech observed continuity good but intermittent under load. Recommended rewire section.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CHAFE_SHORT"", ""parts"": [""WIRING_HARNESS_MAIN""], ""severity"": 5, ""confidence"": 0.62}",ELECTRICAL,ELEC_CHAFE_SHORT,"[""WIRING_HARNESS_MAIN""]",0.38,2026-01-06T12:00:00
note_98e2dbcda72e,wo_0e8c4433033f,ves_bbe230212bed,2025-12-01T16:00:00,tech,Confirmed eng sensor fail. Customer reports hard start cold. Tech observed verified low raw-water flow at strainer. Recommended replace sensor.,en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""ENG_SENSOR_FAIL"", ""parts"": [""CRANK_POS_SENSOR""], ""severity"": 3, ""confidence"": 0.91}",ENGINE,ENG_SENSOR_FAIL,"[""CRANK_POS_SENSOR""]",0.09,2025-12-01T16:00:00
note_804290ad3425,wo_1f8eedd89962,ves_bbe230212bed,2023-08-17T08:00:00,service_writer,"Confirmed eng overheat impeller. Customer reports hard start cold. Tech observed compression down on cyl 3. Recommended replace impeller, replace thermostat.",en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""ENG_OVERHEAT_IMPELLER"", ""parts"": [""OB_WATER_PUMP_KIT"", ""THERMOSTAT_MARINE""], ""severity"": 4, ""confidence"": 0.91}",ENGINE,ENG_OVERHEAT_IMPELLER,"[""OB_WATER_PUMP_KIT"", ""THERMOSTAT_MARINE""]",0.09,2023-08-17T08:00:00
note_d35ded88b685,wo_78b8413639e0,ves_bbe230212bed,2014-07-05T15:00:00,tech,Confirmed jet wear ring clearance. Customer reports bellows leak observed. Tech observed drive oil milky after drain. Recommended replace wear ring.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""JET_WEAR_RING_CLEARANCE"", ""parts"": [""JET_WEAR_RING""], ""severity"": 3, ""confidence"": 0.91}",PROPULSION,JET_WEAR_RING_CLEARANCE,"[""JET_WEAR_RING""]",0.09,2014-07-05T15:00:00
note_4f07a5b152c1,wo_a23829d47efd,ves_bbe230212bed,2018-09-06T11:00:00,tech,Suspect n2k network fault. Customer reports VHF transmit weak. Tech observed N2K backbone missing termination. Recommended repair n2k backbone.,en,"{""subsystem"": ""NAV"", ""failure_mode"": ""N2K_NETWORK_FAULT"", ""parts"": [""N2K_STARTER_KIT""], ""severity"": 3, ""confidence"": 0.62}",NAV,N2K_NETWORK_FAULT,"[""N2K_STARTER_KIT""]",0.38,2018-09-06T11:00:00
note_bd8752e03fc2,wo_4b62f84ea9de,ves_bbe230212bed,2019-02-13T08:00:00,service_writer,Confirmed hull deck core rot. Customer reports blistering below waterline. Tech observed moisture meter elevated around transom. Recommended repair deck core.,en,"{""subsystem"": ""HULL"", ""failure_mode"": ""HULL_DECK_CORE_ROT"", ""parts"": [""HULL_GELCOAT_KIT""], ""severity"": 3, ""confidence"": 0.91}",HULL,HULL_DECK_CORE_ROT,"[""HULL_GELCOAT_KIT""]",0.09,2019-02-13T08:00:00
note_554a79fdf5b7,wo_de258528ac79,ves_adebceae0fad,2022-04-04T12:00:00,tech,Confirmed prop bent shaft. Customer reports vibration underway. Tech observed shaft runout above spec. Recommended repair shaft align.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""PROP_BENT_SHAFT"", ""parts"": [""SHAFT_1_25_SS""], ""severity"": 3, ""confidence"": 0.91}",PROPULSION,PROP_BENT_SHAFT,"[""SHAFT_1_25_SS""]",0.09,2022-04-04T12:00:00
note_99a868965c1c,wo_06c238e11d43,ves_adebceae0fad,2015-07-10T11:00:00,service_writer,Confirmed elec corrosion terminal. Customer reports shore power breaker trips. Tech observed voltage drop across main harness. Recommended clean reterm connectors.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CORROSION_TERMINAL"", ""parts"": [], ""severity"": 3, ""confidence"": 0.91}",ELECTRICAL,ELEC_CORROSION_TERMINAL,[],0.09,2015-07-10T11:00:00
note_44590751792e,wo_c7036a494d86,ves_adebceae0fad,2020-08-06T16:00:00,tech,Suspect n2k network fault. Customer reports depth sounder no reading. Tech observed N2K backbone missing termination. Recommended repair n2k backbone.,en,"{""subsystem"": ""NAV"", ""failure_mode"": ""N2K_NETWORK_FAULT"", ""parts"": [""N2K_STARTER_KIT""], ""severity"": 3, ""confidence"": 0.62}",NAV,N2K_NETWORK_FAULT,"[""N2K_STARTER_KIT""]",0.38,2020-08-06T16:00:00
note_82180e11dfdd,wo_2983c3db5341,ves_adebceae0fad,2022-01-04T15:00:00,tech,Confirmed exh riser leak backflow. Customer reports hard start cold. Tech observed riser temps elevated starboard bank. Recommended replace exhaust risers.,en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""EXH_RISER_LEAK_BACKFLOW"", ""parts"": [""EXHAUST_RISER_V8""], ""severity"": 3, ""confidence"": 0.91}",ENGINE,EXH_RISER_LEAK_BACKFLOW,"[""EXHAUST_RISER_V8""]",0.09,2022-01-04T15:00:00
note_1baa2c7f38c5,wo_045c972ccafc,ves_adebceae0fad,2018-06-21T10:00:00,owner,Confirmed n2k network fault. Customer reports VHF transmit weak. Tech observed N2K backbone missing termination. Recommended repair n2k backbone.,en,"{""subsystem"": ""NAV"", ""failure_mode"": ""N2K_NETWORK_FAULT"", ""parts"": [""N2K_STARTER_KIT""], ""severity"": 3, ""confidence"": 0.91}",NAV,N2K_NETWORK_FAULT,"[""N2K_STARTER_KIT""]",0.09,2018-06-21T10:00:00
note_368244831649,wo_5e1e98c67468,ves_adebceae0fad,2017-07-15T16:00:00,tech,Confirmed san clog. Customer reports freshwater pump cycles. Tech observed sanitation hose permeated. Recommended clear sanitation clog.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""SAN_CLOG"", ""parts"": [], ""severity"": 3, ""confidence"": 0.91}",AUX,SAN_CLOG,[],0.09,2017-07-15T16:00:00
note_ed989788ad12,wo_b64b0c829857,ves_adebceae0fad,2021-06-02T13:00:00,tech,Confirmed hvac raw water flow. Customer reports head odor persistent. Tech observed sanitation hose permeated. Recommended clean ac strainer.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""HVAC_RAW_WATER_FLOW"", ""parts"": [""AC_RAW_WATER_PUMP""], ""severity"": 3, ""confidence"": 0.91}",AUX,HVAC_RAW_WATER_FLOW,"[""AC_RAW_WATER_PUMP""]",0.09,2021-06-02T13:00:00
note_13f719dd0802,wo_d81617f8ee8e,ves_6647655670db,2018-06-02T12:00:00,tech,Confirmed prop cutlass wear. Customer reports drive oil milky. Tech observed bellows split at clamp. Recommended replace cutlass brg.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""PROP_CUTLASS_WEAR"", ""parts"": [""INB_CUTLASS_BRG""], ""severity"": 3, ""confidence"": 0.91}",PROPULSION,PROP_CUTLASS_WEAR,"[""INB_CUTLASS_BRG""]",0.09,2018-06-02T12:00:00
note_c8f03106dfa0,wo_85e98443d992,ves_6647655670db,2018-07-04T09:00:00,tech,Confirmed elec chafe short. Customer reports bilge alarm false trigger. Tech observed voltage drop across main harness. Recommended rewire section.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CHAFE_SHORT"", ""parts"": [""WIRING_HARNESS_MAIN""], ""severity"": 5, ""confidence"": 0.91}",ELECTRICAL,ELEC_CHAFE_SHORT,"[""WIRING_HARNESS_MAIN""]",0.09,2018-07-04T09:00:00
note_1e3592e29738,wo_e60031378f52,ves_216327f6caf4,2020-04-06T08:00:00,tech,Suspect elec stray current. Customer reports bilge alarm false trigger. Tech observed voltage drop across main harness. Recommended electrical fault find.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_STRAY_CURRENT"", ""parts"": [], ""severity"": 3, ""confidence"": 0.62}",ELECTRICAL,ELEC_STRAY_CURRENT,[],0.38,2020-04-06T08:00:00
note_3989cb776d3f,wo_813c25f7376e,ves_216327f6caf4,2020-01-02T12:00:00,tech,Confirmed elec alt fail. Customer reports shore power breaker trips. Tech observed shore inlet shows heat damage. Recommended replace alternator.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_ALT_FAIL"", ""parts"": [""ALTERNATOR_70A""], ""severity"": 3, ""confidence"": 0.91}",ELECTRICAL,ELEC_ALT_FAIL,"[""ALTERNATOR_70A""]",0.09,2020-01-02T12:00:00
note_5f7004d7bc19,wo_d49532016bbe,ves_216327f6caf4,2014-09-10T16:00:00,service_writer,Confirmed exh riser leak backflow. Customer reports hard start cold. Tech observed compression down on cyl 3. Recommended replace exhaust risers.,en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""EXH_RISER_LEAK_BACKFLOW"", ""parts"": [""EXHAUST_RISER_V8""], ""severity"": 3, ""confidence"": 0.91}",ENGINE,EXH_RISER_LEAK_BACKFLOW,"[""EXHAUST_RISER_V8""]",0.09,2014-09-10T16:00:00
note_5da8d2961242,wo_c1a2faf0384f,ves_216327f6caf4,2014-12-15T08:00:00,tech,Confirmed auto sensor drift. Customer reports N2K network offline. Tech observed MFD voltage drops during start. Recommended calibrate autopilot.,en,"{""subsystem"": ""NAV"", ""failure_mode"": ""AUTO_SENSOR_DRIFT"", ""parts"": [""AUTOPILOT_PUMP""], ""severity"": 3, ""confidence"": 0.91}",NAV,AUTO_SENSOR_DRIFT,"[""AUTOPILOT_PUMP""]",0.09,2014-12-15T08:00:00
note_d9233d7f1059,wo_8e95b2b9446d,ves_216327f6caf4,2018-08-12T16:00:00,tech,"Confirmed fuel water contam. Customer reports poor idle. Tech observed water present in separator bowl. Recommended replace filter separator, tank clean.",en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_WATER_CONTAM"", ""parts"": [""FUEL_FILTER_SEPARATOR""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_WATER_CONTAM,"[""FUEL_FILTER_SEPARATOR""]",0.09,2018-08-12T16:00:00
note_250739f924be,wo_a578a984a71e,ves_216327f6caf4,2026-09-22T10:00:00,tech,Suspect elec chafe short. Customer reports intermittent helm power. Tech observed voltage drop across main harness. Recommended rewire section.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CHAFE_SHORT"", ""parts"": [""BUS_BAR_12V""], ""severity"": 5, ""confidence"": 0.62}",ELECTRICAL,ELEC_CHAFE_SHORT,"[""BUS_BAR_12V""]",0.38,2026-09-22T10:00:00
note_eedd8e3a2cd0,wo_aa444f2dee00,ves_216327f6caf4,2022-07-19T11:00:00,tech,Confirmed bilge pump fail. Customer reports freshwater pump cycles. Tech observed raw-water strainer fouled. Recommended replace bilge pump.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""BILGE_PUMP_FAIL"", ""parts"": [""BILGE_PUMP_2000""], ""severity"": 3, ""confidence"": 0.91}",AUX,BILGE_PUMP_FAIL,"[""BILGE_PUMP_2000""]",0.09,2022-07-19T11:00:00
note_e3ede07ab3fc,wo_66427a52981f,ves_216327f6caf4,2017-02-01T08:00:00,tech,Confirmed hull osmosis blistering. Customer reports soft deck near helm. Tech observed visible stress cracks at tabbing. Recommended repair osmosis.,en,"{""subsystem"": ""HULL"", ""failure_mode"": ""HULL_OSMOSIS_BLISTERING"", ""parts"": [""HULL_GELCOAT_KIT""], ""severity"": 3, ""confidence"": 0.91}",HULL,HULL_OSMOSIS_BLISTERING,"[""HULL_GELCOAT_KIT""]",0.09,2017-02-01T08:00:00
note_7b2f7918f1b5,wo_16a8c0c82f13,ves_b82ef7fe4a1f,2019-05-15T11:00:00,tech,Confirmed elec chafe short. Customer reports intermittent helm power. Tech observed shore inlet shows heat damage. Recommended rewire section.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CHAFE_SHORT"", ""parts"": [""BUS_BAR_12V""], ""severity"": 5, ""confidence"": 0.91}",ELECTRICAL,ELEC_CHAFE_SHORT,"[""BUS_BAR_12V""]",0.09,2019-05-15T11:00:00
note_1941f39491de,wo_8933d2cbe513,ves_b82ef7fe4a1f,2021-06-02T13:00:00,service_writer,Confirmed nav sensor fail. Customer reports VHF transmit weak. Tech observed transducer not reading in Airmar diagnostics. Recommended replace depth sensor.,en,"{""subsystem"": ""NAV"", ""failure_mode"": ""NAV_SENSOR_FAIL"", ""parts"": [""DEPTH_XDUCER""], ""severity"": 3, ""confidence"": 0.91}",NAV,NAV_SENSOR_FAIL,"[""DEPTH_XDUCER""]",0.09,2021-06-02T13:00:00
note_e8acb9615c0e,wo_971f5e48d4d7,ves_b82ef7fe4a1f,2017-10-05T08:00:00,tech,Confirmed fuel line crack. Customer reports water in separator. Tech observed water present in separator bowl. Recommended replace fuel lines.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_LINE_CRACK"", ""parts"": [""FUEL_LINE_A1_10FT""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_LINE_CRACK,"[""FUEL_LINE_A1_10FT""]",0.09,2017-10-05T08:00:00
note_7bde9a753a48,wo_401fea535e03,ves_09252b95e92d,2015-11-07T08:00:00,tech,"Confirmed eng overheat impeller. Customer reports hard start cold. Tech observed compression down on cyl 3. Recommended replace impeller, replace thermostat.",en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""ENG_OVERHEAT_IMPELLER"", ""parts"": [""OB_WATER_PUMP_KIT"", ""THERMOSTAT_MARINE""], ""severity"": 4, ""confidence"": 0.91}",ENGINE,ENG_OVERHEAT_IMPELLER,"[""OB_WATER_PUMP_KIT"", ""THERMOSTAT_MARINE""]",0.09,2015-11-07T08:00:00
note_ff8e500f3826,wo_83539b3db283,ves_09252b95e92d,2015-11-20T12:00:00,tech,Suspect jet wear ring clearance. Customer reports bellows leak observed. Tech observed bellows split at clamp. Recommended replace wear ring.,en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""JET_WEAR_RING_CLEARANCE"", ""parts"": [""JET_WEAR_RING""], ""severity"": 3, ""confidence"": 0.62}",PROPULSION,JET_WEAR_RING_CLEARANCE,"[""JET_WEAR_RING""]",0.38,2015-11-20T12:00:00
note_2184617929b1,wo_031f9f7b98d0,ves_09252b95e92d,2022-06-04T14:00:00,tech,Confirmed fuel pump fail. Customer reports engine surges under load. Tech observed pickup screen restricted. Recommended replace fuel pump.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_PUMP_FAIL"", ""parts"": [""FUEL_PUMP_HP""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_PUMP_FAIL,"[""FUEL_PUMP_HP""]",0.09,2022-06-04T14:00:00
note_2818efe914c2,wo_42ea97b53f31,ves_4d4f3133f393,2025-03-12T11:00:00,tech,Confirmed eng low compression. Customer reports loss of power at WOT. Tech observed riser temps elevated starboard bank. Recommended repower engine.,en,"{""subsystem"": ""ENGINE"", ""failure_mode"": ""ENG_LOW_COMPRESSION"", ""parts"": [""ENG_LONG_BLOCK_4CYL""], ""severity"": 5, ""confidence"": 0.91}",ENGINE,ENG_LOW_COMPRESSION,"[""ENG_LONG_BLOCK_4CYL""]",0.09,2025-03-12T11:00:00
note_fc1a4e9d757a,wo_42ffbd7ef983,ves_4d4f3133f393,2022-08-04T12:00:00,service_writer,Suspect hull transom rot. Customer reports blistering below waterline. Tech observed percussion sounding dull on deck panel. Recommended repair transom.,en,"{""subsystem"": ""HULL"", ""failure_mode"": ""HULL_TRANSOM_ROT"", ""parts"": [""HULL_TRANSOM_KIT""], ""severity"": 5, ""confidence"": 0.62}",HULL,HULL_TRANSOM_ROT,"[""HULL_TRANSOM_KIT""]",0.38,2022-08-04T12:00:00
note_a2260860e07e,wo_97d02c92e128,ves_4d4f3133f393,2017-05-01T09:00:00,service_writer,Confirmed elec chafe short. Customer reports bilge alarm false trigger. Tech observed continuity good but intermittent under load. Recommended rewire section.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_CHAFE_SHORT"", ""parts"": [""BUS_BAR_12V""], ""severity"": 5, ""confidence"": 0.91}",ELECTRICAL,ELEC_CHAFE_SHORT,"[""BUS_BAR_12V""]",0.09,2017-05-01T09:00:00
